;Unnamed: 0;Sentiment;Text Tweet;step01;tokens;final_tokens;step02;finalText_str;ProcessedText
39;39;negative;sebnarnya ini film lumyan bgus..sayangnya aktor n aktrisnya dari rusia jadi filmnya trsa hambar;sebnarnya ini film lumyan bgus sayangnya aktor aktrisnya dari rusia jadi filmnya trsa hambar;['sebnarnya', 'ini', 'film', 'lumyan', 'bgus', 'sayangnya', 'aktor', 'aktrisnya', 'dari', 'rusia', 'jadi', 'filmnya', 'trsa', 'hambar'];['sebnarnya', 'ini', 'film', 'lumyan', 'bgus', 'sayangnya', 'aktor', 'aktrisnya', 'dari', 'rusia', 'jadi', 'filmnya', 'trsa', 'hambar'];sebnarnya ini film lumyan bgus sayangnya aktor aktrisnya dari rusia jadi filmnya trsa hambar;sebnarnya ini film lumyan bgus sayangnya aktor aktrisnya dari rusia jadi filmnya trsa hambar;sebnarnya film lumyan bgus sayang aktor aktris rusia jadi film trsa hambar
40;40;negative;Kalo Nolan bikin film gak ada perempuan seksi* dan bumbu percintaan selalu hambar.;kalo nolan bikin film gak ada perempuan seksi dan bumbu percintaan selalu hambar;['kalo', 'nolan', 'bikin', 'film', 'gak', 'ada', 'perempuan', 'seksi', 'dan', 'bumbu', 'percintaan', 'selalu', 'hambar'];['kalo', 'nolan', 'bikin', 'film', 'gak', 'ada', 'perempuan', 'seksi', 'dan', 'bumbu', 'percintaan', 'selalu', 'hambar'];kalo nolan bikin film gak ada perempuan seksi dan bumbu percintaan selalu hambar;kalo nolan bikin film gak ada perempuan seksi dan bumbu percintaan selalu hambar;kalo nol bikin film gak perempuan seksi bumbu cinta selalu hambar
41;41;negative;1. Insidious (2010) Meski creepy dan bagian awalnya bikin tegang, bagian akhir film ini justru terasa agak datar. Hal tersebut berpengaruh+;  insidious   meski creepy dan bagian awalnya bikin tegang bagian akhir film ini justru terasa agak datar hal tersebut berpengaruh;['insidious', 'meski', 'creepy', 'dan', 'bagian', 'awalnya', 'bikin', 'tegang', 'bagian', 'akhir', 'film', 'ini', 'justru', 'terasa', 'agak', 'datar', 'hal', 'tersebut', 'berpengaruh'];['insidious', 'meski', 'creepy', 'dan', 'bagian', 'awalnya', 'bikin', 'tegang', 'bagian', 'akhir', 'film', 'ini', 'justru', 'terasa', 'agak', 'datar', 'hal', 'tersebut', 'berpengaruh'];insidious meski creepy dan bagian awalnya bikin tegang bagian akhir film ini justru terasa agak datar hal tersebut berpengaruh;insidious meski creepy dan bagian awalnya bikin tegang bagian akhir film ini justru terasa agak datar hal tersebut berpengaruh;insidious meski creepy bagi awal bikin tegang bagi akhir film justru asa datar sebut pengaruh
42;42;negative;Ini gue nonton film homo aja rumit bener;ini gue nonton film homo aja rumit bener;['ini', 'gue', 'nonton', 'film', 'homo', 'aja', 'rumit', 'bener'];['ini', 'gue', 'nonton', 'film', 'homo', 'aja', 'rumit', 'bener'];ini gue nonton film homo aja rumit bener;ini gue nonton film homo aja rumit bener;gue nonton film homo aja rumit bener
43;43;negative;Sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget. sayang banget;sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget sayang banget;['sayang', 'banget', 'ketika', 'ada', 'film', 'lokal', 'yang', 'bagus', 'tapi', 'budgetnya', 'kurang', 'jadi', 'layar', 'yang', 'bisa', 'di', 'tonton', 'jadi', 'terbatas', 'banget', 'sayang', 'banget'];['sayang', 'banget', 'ketika', 'ada', 'film', 'lokal', 'yang', 'bagus', 'tapi', 'budgetnya', 'kurang', 'jadi', 'layar', 'yang', 'bisa', 'di', 'tonton', 'jadi', 'terbatas', 'banget', 'sayang', 'banget'];sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget sayang banget;sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget sayang banget;sayang banget ada film lokal bagus budgetnya kurang jadi layar bisa tonton jadi batas banget sayang banget
44;44;negative;Film macam apa ini? Nonton nya bikin gue menderita -_-;film macam apa ini nonton nya bikin gue menderita _;['film', 'macam', 'apa', 'ini', 'nonton', 'nya', 'bikin', 'gue', 'menderita', '_'];['film', 'macam', 'apa', 'ini', 'nonton', 'nya', 'bikin', 'gue', 'menderita', '_'];film macam apa ini nonton nya bikin gue menderita _;film macam apa ini nonton nya bikin gue menderita _;film macam apa nonton bikin gue derita
45;45;negative;jadi gue nonton The Mummy ini karena seseorang bilang film nya bagus. tapi kemudian setelah keluar dari bioskop merasa menyesal...;jadi gue nonton the mummy ini karena seseorang bilang film nya bagus tapi kemudian setelah keluar dari bioskop merasa menyesal;['jadi', 'gue', 'nonton', 'the', 'mummy', 'ini', 'karena', 'seseorang', 'bilang', 'film', 'nya', 'bagus', 'tapi', 'kemudian', 'setelah', 'keluar', 'dari', 'bioskop', 'merasa', 'menyesal'];['jadi', 'gue', 'nonton', 'the', 'mummy', 'ini', 'karena', 'seseorang', 'bilang', 'film', 'nya', 'bagus', 'tapi', 'kemudian', 'setelah', 'keluar', 'dari', 'bioskop', 'merasa', 'menyesal'];jadi gue nonton the mummy ini karena seseorang bilang film nya bagus tapi kemudian setelah keluar dari bioskop merasa menyesal;jadi gue nonton the mummy ini karena seseorang bilang film nya bagus tapi kemudian setelah keluar dari bioskop merasa menyesal;jadi gue nonton the mummy karena orang bilang film bagus kemudian keluar bioskop rasa sesal
46;46;negative;Semalam nonton film ini, paginya ane download, malem langsung nonton.. ane smpai begadang.. hasilnya? Ane Kecewa... http://fb.me/13sZi5lbC ;semalam nonton film ini paginya ane download malem langsung nonton ane smpai begadang hasilnya ane kecewa fb meszilbc;['semalam', 'nonton', 'film', 'ini', 'paginya', 'ane', 'download', 'malem', 'langsung', 'nonton', 'ane', 'smpai', 'begadang', 'hasilnya', 'ane', 'kecewa', 'fb', 'meszilbc'];['semalam', 'nonton', 'film', 'ini', 'paginya', 'ane', 'download', 'malem', 'langsung', 'nonton', 'ane', 'smpai', 'begadang', 'hasilnya', 'ane', 'kecewa', 'fb', 'meszilbc'];semalam nonton film ini paginya ane download malem langsung nonton ane smpai begadang hasilnya ane kecewa fb meszilbc;semalam nonton film ini paginya ane download malem langsung nonton ane smpai begadang hasilnya ane kecewa fb meszilbc;malam nonton film pagi ane download malem langsung nonton ane smpai begadang hasil ane kecewa fb meszilbc
47;47;negative;Aku takut kecewa nonton film Danur, takut ga sesuai ekspetasi ketika di buku. Mikir panjang, serius.;aku takut kecewa nonton film danur takut ga sesuai ekspetasi ketika di buku mikir panjang serius;['aku', 'takut', 'kecewa', 'nonton', 'film', 'danur', 'takut', 'ga', 'sesuai', 'ekspetasi', 'ketika', 'di', 'buku', 'mikir', 'panjang', 'serius'];['aku', 'takut', 'kecewa', 'nonton', 'film', 'danur', 'takut', 'ga', 'sesuai', 'ekspetasi', 'ketika', 'di', 'buku', 'mikir', 'panjang', 'serius'];aku takut kecewa nonton film danur takut ga sesuai ekspetasi ketika di buku mikir panjang serius;aku takut kecewa nonton film danur takut ga sesuai ekspetasi ketika di buku mikir panjang serius;aku takut kecewa nonton film danur takut ga sesuai ekspetasi di buku mikir panjang serius
48;48;negative;Nonton alien : covenant di @cinema21 mall @MciMall kaya nonton bajakan parah ada yg di SKIP mati mati jelek parah!!!! Film bagus jadi jelek ;nonton alien covenant di cinema mall mcimall kaya nonton bajakan parah ada yg di skip mati mati jelek parah film bagus jadi jelek;['nonton', 'alien', 'covenant', 'di', 'cinema', 'mall', 'mcimall', 'kaya', 'nonton', 'bajakan', 'parah', 'ada', 'yg', 'di', 'skip', 'mati', 'mati', 'jelek', 'parah', 'film', 'bagus', 'jadi', 'jelek'];['nonton', 'alien', 'covenant', 'di', 'cinema', 'mall', 'mcimall', 'kaya', 'nonton', 'bajakan', 'parah', 'ada', 'yg', 'di', 'skip', 'mati', 'mati', 'jelek', 'parah', 'film', 'bagus', 'jadi', 'jelek'];nonton alien covenant di cinema mall mcimall kaya nonton bajakan parah ada yg di skip mati mati jelek parah film bagus jadi jelek;nonton alien covenant di cinema mall mcimall kaya nonton bajakan parah ada yg di skip mati mati jelek parah film bagus jadi jelek;nonton alien covenant cema mall mcimall kaya nonton baja parah yg skip mati mati jelek parah film bagus jadi jelek
49;49;negative;gue adalah orang yg jarang bgt nntn film indonesia..krn tiap nntn, gue slalu kecewa sama pembuatan film yg mnrt gue ga totalitas;gue adalah orang yg jarang bgt nntn film indonesia krn tiap nntn gue slalu kecewa sama pembuatan film yg mnrt gue ga totalitas;['gue', 'adalah', 'orang', 'yg', 'jarang', 'bgt', 'nntn', 'film', 'indonesia', 'krn', 'tiap', 'nntn', 'gue', 'slalu', 'kecewa', 'sama', 'pembuatan', 'film', 'yg', 'mnrt', 'gue', 'ga', 'totalitas'];['gue', 'adalah', 'orang', 'yg', 'jarang', 'bgt', 'nntn', 'film', 'indonesia', 'krn', 'tiap', 'nntn', 'gue', 'slalu', 'kecewa', 'sama', 'pembuatan', 'film', 'yg', 'mnrt', 'gue', 'ga', 'totalitas'];gue adalah orang yg jarang bgt nntn film indonesia krn tiap nntn gue slalu kecewa sama pembuatan film yg mnrt gue ga totalitas;gue adalah orang yg jarang bgt nntn film indonesia krn tiap nntn gue slalu kecewa sama pembuatan film yg mnrt gue ga totalitas;gue orang jarang bgt nntn film indonesia krn tiap nntn gue slalu kecewa sama buat film mnrt gue ga totalitas
50;50;negative;Awalnya agak ragu mau nonton, karena kebanyakan kecewa waktu nonton film dari adaptasi novel;awalnya agak ragu mau nonton karena kebanyakan kecewa waktu nonton film dari adaptasi novel;['awalnya', 'agak', 'ragu', 'mau', 'nonton', 'karena', 'kebanyakan', 'kecewa', 'waktu', 'nonton', 'film', 'dari', 'adaptasi', 'novel'];['awalnya', 'agak', 'ragu', 'mau', 'nonton', 'karena', 'kebanyakan', 'kecewa', 'waktu', 'nonton', 'film', 'dari', 'adaptasi', 'novel'];awalnya agak ragu mau nonton karena kebanyakan kecewa waktu nonton film dari adaptasi novel;awalnya agak ragu mau nonton karena kebanyakan kecewa waktu nonton film dari adaptasi novel;awal ragu mau nonton banyak kecewa waktu nonton film adaptasi novel
51;51;negative;Sebenarnya gamau berekspektasi tinggi sih dari sebuah film yang diangkat dr buku. Biasanya malah kecewa :(;sebenarnya gamau berekspektasi tinggi sih dari sebuah film yang diangkat dr buku biasanya malah kecewa;['sebenarnya', 'gamau', 'berekspektasi', 'tinggi', 'sih', 'dari', 'sebuah', 'film', 'yang', 'diangkat', 'dr', 'buku', 'biasanya', 'malah', 'kecewa'];['sebenarnya', 'gamau', 'berekspektasi', 'tinggi', 'sih', 'dari', 'sebuah', 'film', 'yang', 'diangkat', 'dr', 'buku', 'biasanya', 'malah', 'kecewa'];sebenarnya gamau berekspektasi tinggi sih dari sebuah film yang diangkat dr buku biasanya malah kecewa;sebenarnya gamau berekspektasi tinggi sih dari sebuah film yang diangkat dr buku biasanya malah kecewa;benar gamau berekspektasi tinggi dari buah film angkat dr buku biasa malah kecewa
52;52;negative;Ya sudah tidur saja kecewa film nya bukan yang diharepin hufy;ya sudah tidur saja kecewa film nya bukan yang diharepin hufy;['ya', 'sudah', 'tidur', 'saja', 'kecewa', 'film', 'nya', 'bukan', 'yang', 'diharepin', 'hufy'];['ya', 'sudah', 'tidur', 'saja', 'kecewa', 'film', 'nya', 'bukan', 'yang', 'diharepin', 'hufy'];ya sudah tidur saja kecewa film nya bukan yang diharepin hufy;ya sudah tidur saja kecewa film nya bukan yang diharepin hufy;sudah tidur kecewa film bukan diharepin hufy
53;53;negative;Sama, ane juga kecewa ma nih film, padahal udah lama nungguin;sama ane juga kecewa ma nih film padahal udah lama nungguin;['sama', 'ane', 'juga', 'kecewa', 'ma', 'nih', 'film', 'padahal', 'udah', 'lama', 'nungguin'];['sama', 'ane', 'juga', 'kecewa', 'ma', 'nih', 'film', 'padahal', 'udah', 'lama', 'nungguin'];sama ane juga kecewa ma nih film padahal udah lama nungguin;sama ane juga kecewa ma nih film padahal udah lama nungguin;sama ane kecewa ma nih film padahal udah lama nungguin
54;54;negative;Ka @selliyamanto udah nonton #MembabiButa? Agak kecewa nonton film tu;ka selliyamanto udah nonton agak kecewa nonton film tu;['ka', 'selliyamanto', 'udah', 'nonton', 'agak', 'kecewa', 'nonton', 'film', 'tu'];['ka', 'selliyamanto', 'udah', 'nonton', 'agak', 'kecewa', 'nonton', 'film', 'tu'];ka selliyamanto udah nonton agak kecewa nonton film tu;ka selliyamanto udah nonton agak kecewa nonton film tu;ka selliyamanto udah nonton kecewa nonton film tu
55;55;negative;Jenuh nonton film... hambar;jenuh nonton film hambar;['jenuh', 'nonton', 'film', 'hambar'];['jenuh', 'nonton', 'film', 'hambar'];jenuh nonton film hambar;jenuh nonton film hambar;jenuh nonton film hambar
56;56;negative;sesal di dada nonton ini film...;sesal di dada nonton ini film;['sesal', 'di', 'dada', 'nonton', 'ini', 'film'];['sesal', 'di', 'dada', 'nonton', 'ini', 'film'];sesal di dada nonton ini film;sesal di dada nonton ini film;sesal dada nonton film
57;57;negative;"Netizen membatalkan nonton film ""Kartini"" gara-gara kelakuan @therealDiSastr. http://bit.ly/2o2iRPY";netizen membatalkan nonton film kartini gara gara kelakuan therealdisastr bit lyoirpy;['netizen', 'membatalkan', 'nonton', 'film', 'kartini', 'gara', 'gara', 'kelakuan', 'therealdisastr', 'bit', 'lyoirpy'];['netizen', 'membatalkan', 'nonton', 'film', 'kartini', 'gara', 'gara', 'kelakuan', 'therealdisastr', 'bit', 'lyoirpy'];netizen membatalkan nonton film kartini gara gara kelakuan therealdisastr bit lyoirpy;netizen membatalkan nonton film kartini gara gara kelakuan therealdisastr bit lyoirpy;netizen batal nonton film kartini gara gara laku therealdisastr bit lyoirpy
58;58;negative;film jelek, jelas. Ga ada isinya.;film jelek jelas ga ada isinya;['film', 'jelek', 'jelas', 'ga', 'ada', 'isinya'];['film', 'jelek', 'jelas', 'ga', 'ada', 'isinya'];film jelek jelas ga ada isinya;film jelek jelas ga ada isinya;film jelek jelas ga isi
59;59;negative;Itu film makin aneh ajaa ?;itu film makin aneh ajaa;['itu', 'film', 'makin', 'aneh', 'ajaa'];['itu', 'film', 'makin', 'aneh', 'ajaa'];itu film makin aneh ajaa;itu film makin aneh ajaa;film makin aneh ajaa
60;60;negative;Agak aneh film terbaru Conan, baru kali ini gk spektakuler. Tp openingnya hancurin gedung sih;agak aneh film terbaru conan baru kali ini gk spektakuler tp openingnya hancurin gedung sih;['agak', 'aneh', 'film', 'terbaru', 'conan', 'baru', 'kali', 'ini', 'gk', 'spektakuler', 'tp', 'openingnya', 'hancurin', 'gedung', 'sih'];['agak', 'aneh', 'film', 'terbaru', 'conan', 'baru', 'kali', 'ini', 'gk', 'spektakuler', 'tp', 'openingnya', 'hancurin', 'gedung', 'sih'];agak aneh film terbaru conan baru kali ini gk spektakuler tp openingnya hancurin gedung sih;agak aneh film terbaru conan baru kali ini gk spektakuler tp openingnya hancurin gedung sih;aneh film baru conan baru kali gk spektakuler tp openingnya hancurin gedung
61;61;negative;@askmenfess Film yang bikin emosional, bener-bener nyedot emosi.;askmenfess film yang bikin emosional bener bener nyedot emosi;['askmenfess', 'film', 'yang', 'bikin', 'emosional', 'bener', 'bener', 'nyedot', 'emosi'];['askmenfess', 'film', 'yang', 'bikin', 'emosional', 'bener', 'bener', 'nyedot', 'emosi'];askmenfess film yang bikin emosional bener bener nyedot emosi;askmenfess film yang bikin emosional bener bener nyedot emosi;askmenfess film bikin emosional bener bener nyedot emosi
62;62;negative;@pandji @InsyaAllahSah Film busuk dan artis dungu merusak bhineka;pandji insyaallahsah film busuk dan artis dungu merusak bhineka;['pandji', 'insyaallahsah', 'film', 'busuk', 'dan', 'artis', 'dungu', 'merusak', 'bhineka'];['pandji', 'insyaallahsah', 'film', 'busuk', 'dan', 'artis', 'dungu', 'merusak', 'bhineka'];pandji insyaallahsah film busuk dan artis dungu merusak bhineka;pandji insyaallahsah film busuk dan artis dungu merusak bhineka;pandji insyaallahsah film busuk artis dungu rusak bhineka
63;63;negative;Kecewa dgn plot cerita film dengan the guys, critanya seakan lompat ga ada proses visual yg bs bikin kta mengerti mengapa amira suka sm alfi;kecewa dgn plot cerita film dengan the guys critanya seakan lompat ga ada proses visual yg bs bikin kta mengerti mengapa amira suka sm alfi;['kecewa', 'dgn', 'plot', 'cerita', 'film', 'dengan', 'the', 'guys', 'critanya', 'seakan', 'lompat', 'ga', 'ada', 'proses', 'visual', 'yg', 'bs', 'bikin', 'kta', 'mengerti', 'mengapa', 'amira', 'suka', 'sm', 'alfi'];['kecewa', 'dgn', 'plot', 'cerita', 'film', 'dengan', 'the', 'guys', 'critanya', 'seakan', 'lompat', 'ga', 'ada', 'proses', 'visual', 'yg', 'bs', 'bikin', 'kta', 'mengerti', 'mengapa', 'amira', 'suka', 'sm', 'alfi'];kecewa dgn plot cerita film dengan the guys critanya seakan lompat ga ada proses visual yg bs bikin kta mengerti mengapa amira suka sm alfi;kecewa dgn plot cerita film dengan the guys critanya seakan lompat ga ada proses visual yg bs bikin kta mengerti mengapa amira suka sm alfi;kecewa dgn plot cerita film the guys critanya akan lompat ga proses visual bs bikin kta erti amira suka sm alf
64;64;negative;jijik banget sama film ini. apalagi pas dia jadi kelinci gede-_- nightmare parah. https://t.co/eDoiFuS8P5;jijik banget sama film ini apalagi pas dia jadi kelinci gede _ nightmare parah coedoifusp;['jijik', 'banget', 'sama', 'film', 'ini', 'apalagi', 'pas', 'dia', 'jadi', 'kelinci', 'gede', '_', 'nightmare', 'parah', 'coedoifusp'];['jijik', 'banget', 'sama', 'film', 'ini', 'apalagi', 'pas', 'dia', 'jadi', 'kelinci', 'gede', '_', 'nightmare', 'parah', 'coedoifusp'];jijik banget sama film ini apalagi pas dia jadi kelinci gede _ nightmare parah coedoifusp;jijik banget sama film ini apalagi pas dia jadi kelinci gede _ nightmare parah coedoifusp;jijik banget sama film apalagi pas jadi kelinci gede nightmare parah coedoifusp
65;65;negative;bnyak yg bilang film Mummy jelek, pdahl pengen nonton;bnyak yg bilang film mummy jelek pdahl pengen nonton;['bnyak', 'yg', 'bilang', 'film', 'mummy', 'jelek', 'pdahl', 'pengen', 'nonton'];['bnyak', 'yg', 'bilang', 'film', 'mummy', 'jelek', 'pdahl', 'pengen', 'nonton'];bnyak yg bilang film mummy jelek pdahl pengen nonton;bnyak yg bilang film mummy jelek pdahl pengen nonton;bnyak bilang film mummy jelek pdahl ken nonton
66;66;negative;Banyak yang bilang, film ini jelek. Daur ulang yang gagal. Di imdb dan ratattote aja ratingnya anjlok. Tp menurutku, aku suka sama film ini;banyak yang bilang film ini jelek daur ulang yang gagal di imdb dan ratattote aja ratingnya anjlok tp menurutku aku suka sama film ini;['banyak', 'yang', 'bilang', 'film', 'ini', 'jelek', 'daur', 'ulang', 'yang', 'gagal', 'di', 'imdb', 'dan', 'ratattote', 'aja', 'ratingnya', 'anjlok', 'tp', 'menurutku', 'aku', 'suka', 'sama', 'film', 'ini'];['banyak', 'yang', 'bilang', 'film', 'ini', 'jelek', 'daur', 'ulang', 'yang', 'gagal', 'di', 'imdb', 'dan', 'ratattote', 'aja', 'ratingnya', 'anjlok', 'tp', 'menurutku', 'aku', 'suka', 'sama', 'film', 'ini'];banyak yang bilang film ini jelek daur ulang yang gagal di imdb dan ratattote aja ratingnya anjlok tp menurutku aku suka sama film ini;banyak yang bilang film ini jelek daur ulang yang gagal di imdb dan ratattote aja ratingnya anjlok tp menurutku aku suka sama film ini;banyak bilang film jelek daur ulang gagal imdb ratattote aja ratingnya anjlok tp turut aku suka sama film
67;67;negative;Naruto adalah film paling bodoh ke-8 haha #faktanya #quote;naruto adalah film paling bodoh ke   haha;['naruto', 'adalah', 'film', 'paling', 'bodoh', 'ke', 'haha'];['naruto', 'adalah', 'film', 'paling', 'bodoh', 'ke', 'haha'];naruto adalah film paling bodoh ke haha;naruto adalah film paling bodoh ke haha;naruto film paling bodoh haha
68;68;negative;Gw ekspektasinya film ini punya kekuatan narasi yg gw bisa jadiin motivasi. Tp kalimat inspiratifnya kurang banyak hehehe;gw ekspektasinya film ini punya kekuatan narasi yg gw bisa jadiin motivasi tp kalimat inspiratifnya kurang banyak hehehe;['gw', 'ekspektasinya', 'film', 'ini', 'punya', 'kekuatan', 'narasi', 'yg', 'gw', 'bisa', 'jadiin', 'motivasi', 'tp', 'kalimat', 'inspiratifnya', 'kurang', 'banyak', 'hehehe'];['gw', 'ekspektasinya', 'film', 'ini', 'punya', 'kekuatan', 'narasi', 'yg', 'gw', 'bisa', 'jadiin', 'motivasi', 'tp', 'kalimat', 'inspiratifnya', 'kurang', 'banyak', 'hehehe'];gw ekspektasinya film ini punya kekuatan narasi yg gw bisa jadiin motivasi tp kalimat inspiratifnya kurang banyak hehehe;gw ekspektasinya film ini punya kekuatan narasi yg gw bisa jadiin motivasi tp kalimat inspiratifnya kurang banyak hehehe;gw ekspektasinya film punya kuat narasi gw jadiin motivasi tp kalimat inspiratifnya kurang banyak hehehe
69;69;negative;Film e hambar;film hambar;['film', 'hambar'];['film', 'hambar'];film hambar;film hambar;film hambar
70;70;negative;"Film The Mummy menurut gue gak sesuai harapan, agak agak gimana gitu filmnya, weird. Dan bukan film tipe bang tom seperti biasanya -_-""";film the mummy menurut gue gak sesuai harapan agak agak gimana gitu filmnya weird dan bukan film tipe bang tom seperti biasanya _;['film', 'the', 'mummy', 'menurut', 'gue', 'gak', 'sesuai', 'harapan', 'agak', 'agak', 'gimana', 'gitu', 'filmnya', 'weird', 'dan', 'bukan', 'film', 'tipe', 'bang', 'tom', 'seperti', 'biasanya', '_'];['film', 'the', 'mummy', 'menurut', 'gue', 'gak', 'sesuai', 'harapan', 'agak', 'agak', 'gimana', 'gitu', 'filmnya', 'weird', 'dan', 'bukan', 'film', 'tipe', 'bang', 'tom', 'seperti', 'biasanya', '_'];film the mummy menurut gue gak sesuai harapan agak agak gimana gitu filmnya weird dan bukan film tipe bang tom seperti biasanya _;film the mummy menurut gue gak sesuai harapan agak agak gimana gitu filmnya weird dan bukan film tipe bang tom seperti biasanya _;film the mummy gue gak sesuai harap agak gimana gitu film weird bukan film tipe bang tom biasa
71;71;negative;yah kirain film baru wkwk penonton kecewaa;yah kirain film baru wkwk penonton kecewaa;['yah', 'kirain', 'film', 'baru', 'wkwk', 'penonton', 'kecewaa'];['yah', 'kirain', 'film', 'baru', 'wkwk', 'penonton', 'kecewaa'];yah kirain film baru wkwk penonton kecewaa;yah kirain film baru wkwk penonton kecewaa;yah kirain film baru wkwk tonton kecewaa
72;72;negative;"Mau bilang jelek ya bilang aja, sekalipun yg buat film itu teman sendiri. Sebut ""filmya bagus"" padahal biasa aja ngga bkin tmen lu maju sih.";mau bilang jelek ya bilang aja sekalipun yg buat film itu teman sendiri sebut filmya bagus padahal biasa aja ngga bkin tmen lu maju sih;['mau', 'bilang', 'jelek', 'ya', 'bilang', 'aja', 'sekalipun', 'yg', 'buat', 'film', 'itu', 'teman', 'sendiri', 'sebut', 'filmya', 'bagus', 'padahal', 'biasa', 'aja', 'ngga', 'bkin', 'tmen', 'lu', 'maju', 'sih'];['mau', 'bilang', 'jelek', 'ya', 'bilang', 'aja', 'sekalipun', 'yg', 'buat', 'film', 'itu', 'teman', 'sendiri', 'sebut', 'filmya', 'bagus', 'padahal', 'biasa', 'aja', 'ngga', 'bkin', 'tmen', 'lu', 'maju', 'sih'];mau bilang jelek ya bilang aja sekalipun yg buat film itu teman sendiri sebut filmya bagus padahal biasa aja ngga bkin tmen lu maju sih;mau bilang jelek ya bilang aja sekalipun yg buat film itu teman sendiri sebut filmya bagus padahal biasa aja ngga bkin tmen lu maju sih;mau bilang jelek bilang aja sekalipun buat film teman sendiri sebut filmya bagus padahal biasa aja ngga bkin tmen lu maju
73;73;negative;"Abis nonton King Arthur. Temen gw pesen, sblm nonton ""loh, itu film jelek katanya"" jgn selalu percaya ama pesen yg ada unsur ""KATANYA"" ..";abis nonton king arthur temen gw pesen sblm nonton loh itu film jelek katanya jgn selalu percaya ama pesen yg ada unsur katanya;['abis', 'nonton', 'king', 'arthur', 'temen', 'gw', 'pesen', 'sblm', 'nonton', 'loh', 'itu', 'film', 'jelek', 'katanya', 'jgn', 'selalu', 'percaya', 'ama', 'pesen', 'yg', 'ada', 'unsur', 'katanya'];['abis', 'nonton', 'king', 'arthur', 'temen', 'gw', 'pesen', 'sblm', 'nonton', 'loh', 'itu', 'film', 'jelek', 'katanya', 'jgn', 'selalu', 'percaya', 'ama', 'pesen', 'yg', 'ada', 'unsur', 'katanya'];abis nonton king arthur temen gw pesen sblm nonton loh itu film jelek katanya jgn selalu percaya ama pesen yg ada unsur katanya;abis nonton king arthur temen gw pesen sblm nonton loh itu film jelek katanya jgn selalu percaya ama pesen yg ada unsur katanya;abis nonton king arthur temen gw sen sblm nonton itu film jelek kata jgn selalu percaya ama sen ada unsur kata
74;74;negative;Kadang lebih gampang nilai film jelek ketimbang nilai film bagus. Mbuh.;kadang lebih gampang nilai film jelek ketimbang nilai film bagus mbuh;['kadang', 'lebih', 'gampang', 'nilai', 'film', 'jelek', 'ketimbang', 'nilai', 'film', 'bagus', 'mbuh'];['kadang', 'lebih', 'gampang', 'nilai', 'film', 'jelek', 'ketimbang', 'nilai', 'film', 'bagus', 'mbuh'];kadang lebih gampang nilai film jelek ketimbang nilai film bagus mbuh;kadang lebih gampang nilai film jelek ketimbang nilai film bagus mbuh;kadang lebih gampang nilai film jelek ketimbang nilai film bagus mbuh
75;75;negative;Ini film apa dah. Baru mulai udh bgni-_- jijk;ini film apa dah baru mulai udh bgni _ jijk;['ini', 'film', 'apa', 'dah', 'baru', 'mulai', 'udh', 'bgni', '_', 'jijk'];['ini', 'film', 'apa', 'dah', 'baru', 'mulai', 'udh', 'bgni', '_', 'jijk'];ini film apa dah baru mulai udh bgni _ jijk;ini film apa dah baru mulai udh bgni _ jijk;film apa dah baru mulai udh bgni jijk
76;76;negative;"Film Kartini menang pd pemain"" film yg kelas atas yg sudah punya nama. Tapi ceritany kurang dapat dan kurang riset menurut saya.";film kartini menang pd pemain film yg kelas atas yg sudah punya nama tapi ceritany kurang dapat dan kurang riset menurut saya;['film', 'kartini', 'menang', 'pd', 'pemain', 'film', 'yg', 'kelas', 'atas', 'yg', 'sudah', 'punya', 'nama', 'tapi', 'ceritany', 'kurang', 'dapat', 'dan', 'kurang', 'riset', 'menurut', 'saya'];['film', 'kartini', 'menang', 'pd', 'pemain', 'film', 'yg', 'kelas', 'atas', 'yg', 'sudah', 'punya', 'nama', 'tapi', 'ceritany', 'kurang', 'dapat', 'dan', 'kurang', 'riset', 'menurut', 'saya'];film kartini menang pd pemain film yg kelas atas yg sudah punya nama tapi ceritany kurang dapat dan kurang riset menurut saya;film kartini menang pd pemain film yg kelas atas yg sudah punya nama tapi ceritany kurang dapat dan kurang riset menurut saya;film kartini menang pd main film kelas atas sudah punya nama ceritany kurang dan kurang riset saya
